,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
5180,7405,Bankstown Public School,PCT_COMPOSITE_CLASS_STUDENTS,5.2,14
5181,5246,Bankstown South Infants School,PCT_COMPOSITE_CLASS_STUDENTS,20.6,14
5182,4142,Bankstown West Public School,PCT_COMPOSITE_CLASS_STUDENTS,55.6,14
5183,1129,Banora Point Public School,PCT_COMPOSITE_CLASS_STUDENTS,43.5,14
5184,1130,Baradine Central School,PCT_COMPOSITE_CLASS_STUDENTS,74.6,14
5185,4311,Bardia Public School,PCT_COMPOSITE_CLASS_STUDENTS,59.9,14
5186,5148,Bardwell Park Infants School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5187,1131,Barellan Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5188,1134,Bargo Public School,PCT_COMPOSITE_CLASS_STUDENTS,42.3,14
5189,1135,Barham Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5190,1136,Barkers Vale Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5191,1137,Barmedman Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5192,4599,Barnier Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.5,14
5193,1138,Barnsley Public School,PCT_COMPOSITE_CLASS_STUDENTS,87.4,14
5194,1139,Barooga Public School,PCT_COMPOSITE_CLASS_STUDENTS,83.7,14
5195,1140,Barraba Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5196,4501,Barrack Heights Public School,PCT_COMPOSITE_CLASS_STUDENTS,74.7,14
5197,4671,Barramurra Public School,PCT_COMPOSITE_CLASS_STUDENTS,NULL,14
5198,1143,Barrington Public School,PCT_COMPOSITE_CLASS_STUDENTS,77.9,14
5199,1146,Baryulgil Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5200,1148,Bass Hill Public School,PCT_COMPOSITE_CLASS_STUDENTS,49.6,14
5201,4520,Bateau Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.9,14
5202,1149,Batemans Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,32,14
5203,1150,Bathurst Public School,PCT_COMPOSITE_CLASS_STUDENTS,56.2,14
5204,3847,Bathurst South Public School,PCT_COMPOSITE_CLASS_STUDENTS,74.5,14
5205,3824,Bathurst West Public School,PCT_COMPOSITE_CLASS_STUDENTS,53,14
5206,1152,Batlow Technology School,PCT_COMPOSITE_CLASS_STUDENTS,82.1,14
5207,4377,Baulkham Hills North Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.8,14
5208,4660,Bayanami Public School,PCT_COMPOSITE_CLASS_STUDENTS,NULL,14
5209,3971,Beacon Hill Public School,PCT_COMPOSITE_CLASS_STUDENTS,7.5,14
5210,4630,Beaumont Hills Public School,PCT_COMPOSITE_CLASS_STUDENTS,31.6,14
5211,3956,Beaumont Road Public School,PCT_COMPOSITE_CLASS_STUDENTS,12.1,14
5212,5212,Beauty Point Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5213,1160,Beckom Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5214,1164,Bedgerabong Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
