,School Code,School Full Name,Original RAM Funding $,RAM Funding - post Adjustments $
174,1460.0,Buxton Public School,,
175,1470.0,Byron Bay Public School,,
176,1471.0,Cabbage Tree Island Public School,,
177,1472.0,Cabramatta Public School,,
178,1481.0,Cambewarra Public School,,
179,1482.0,Camden Public School,,
180,1483.0,Camdenville Public School,,
181,1485.0,Cammeray Public School,,
182,1486.0,Campbelltown Public School,,
183,1488.0,Campsie Public School,,
184,1490.0,Candelo Public School,,
185,1492.0,Caniaba Public School,,
186,1494.0,Canley Vale Public School,,
187,1495.0,Canobolas Public School,,
188,1497.0,Canterbury Public School,,
189,1498.0,Brisbania Public School,,
190,1499.0,Uranquinty Public School,,
191,1501.0,Capertee Public School,,
192,1502.0,Captains Flat Public School,,
193,1503.0,Caragabal Public School,,
194,1504.0,Carcoar Public School,,
195,1505.0,Cardiff Public School,,
196,1506.0,Cargo Public School,,
197,1507.0,Carinda Public School,,
198,1508.0,Caringbah Public School,,
199,1512.0,Carlton Public School,,
200,1513.0,Carlton South Public School,,
201,1515.0,Carool Public School,,
202,1517.0,Carrathool Public School,,
203,1518.0,Carrington Public School,,
204,1520.0,Carroll Public School,,
205,1526.0,Casino Public School,,
206,1527.0,Cassilis Public School,,
207,1529.0,Castle Hill Public School,,
208,1535.0,Cattai Public School,,
209,1537.0,Cawdor Public School,,
210,1542.0,Cessnock Public School,,
211,1543.0,Cessnock East Public School,,
212,1545.0,Cessnock West Public School,,
213,1547.0,Chandler Public School,,
214,1548.0,The Channon Public School,,
215,1550.0,Charlestown Public School,,
216,1551.0,Pacific Palms Public School,,
217,1553.0,Chatsworth Island Public School,,
218,1558.0,Chillingham Public School,,
219,1560.0,Chipping Norton Public School,,
220,1564.0,Clarence Town Public School,,
221,1566.0,Clemton Park Public School,,
222,1573.0,Clovelly Public School,,
223,1574.0,Clunes Public School,,
224,1578.0,Cobar Public School,,
225,1579.0,Cobargo Public School,,
226,1580.0,Cobbitty Public School,,
227,1583.0,Coffee Camp Public School,,
228,1584.0,Coffs Harbour Public School,,
229,1587.0,Coledale Public School,,
230,1589.0,Collarenebri Central School,,
231,1590.0,Collector Public School,,
232,1593.0,Collins Creek Public School,,
233,1596.0,Colyton Public School,,
234,1601.0,Comboyne Public School,,
235,1604.0,Comleroy Road Public School,,
236,1605.0,Como Public School,,
237,1606.0,Conargo Public School,,
238,1607.0,Concord Public School,,
239,1608.0,Concord West Public School,,
240,1609.0,Condobolin Public School,,
241,1611.0,Condong Public School,,
242,1612.0,Coniston Public School,,
243,1613.0,Connells Point Public School,,
244,1615.0,Cooerwull Public School,,
245,1616.0,Coogee Public School,,
246,1621.0,Coolah Central School,,
247,1624.0,Coolamon Central School,,
248,1625.0,Shoalhaven Heads Public School,,
249,1627.0,Coolongolook Public School,,
250,1628.0,Cooma Public School,,
251,1630.0,Coonabarabran Public School,,
252,1631.0,Coonamble Public School,,
253,1632.0,Coopernook Public School,,
254,1634.0,Coorabell Public School,,
255,1635.0,Cooranbong Public School,,
256,1636.0,Cootamundra Public School,,
257,1642.0,Copmanhurst Public School,,
258,1644.0,Coraki Public School,,
259,1647.0,Coramba Public School,,
260,1654.0,Corindi Public School,,
261,1656.0,Corndale Public School,,
262,1658.0,Corowa Public School,,
263,1659.0,Corowa South Public School,,
264,1661.0,Corrimal Public School,,
265,1666.0,Coutts Crossing Public School,,
266,1668.0,Cowan Public School,,
267,1670.0,Cowper Public School,,
268,1671.0,Cowra Public School,,
269,1674.0,Crabbes Creek Public School,,
270,1681.0,Crescent Head Public School,,
271,1682.0,Cronulla Public School,,
272,1684.0,Crookwell Public School,,
273,1685.0,Crossmaglen Public School,,
274,1688.0,Buronga Public School,,
275,1690.0,Crystal Creek Public School,,
276,1695.0,Cudal Public School,,
277,1696.0,Cudgen Public School,,
278,1698.0,Culcairn Public School,,
279,1700.0,Cullen Bullen Public School,,
280,1707.0,Cumnock Public School,,
281,1708.0,Cundletown Public School,,
282,1712.0,Curlewis Public School,,
283,1714.0,Currabubula Public School,,
284,1722.0,Dalgety Public School,,
285,1723.0,Dalton Public School,,
286,1727.0,Dapto Public School,,
287,1732.0,Dareton Public School,,
288,1735.0,Darlington Public School,,
289,1736.0,Darlington Point Public School,,
290,1740.0,Leeville Public School,,
291,1742.0,Deepwater Public School,,
292,1744.0,Dee Why Public School,,
293,1745.0,Delegate Public School,,
294,1747.0,Delungra Public School,,
295,1749.0,Denman Public School,,
296,1760.0,Doonside Public School,,
297,1762.0,Dora Creek Public School,,
298,1768.0,Double Bay Public School,,
299,1770.0,Douglas Park Public School,,
300,1771.0,Drake Public School,,
301,1774.0,Drummoyne Public School,,
302,1775.0,Dubbo Public School,,
303,1776.0,Dubbo North Public School,,
304,1778.0,Dudley Public School,,
305,1780.0,Lismore Public School,,
306,1788.0,Dundurrabin Public School,,
307,1789.0,Dunedoo Central School,,
308,1791.0,Dungay Public School,,
309,1792.0,Dungog Public School,,
310,1793.0,Dungowan Public School,,
311,1797.0,Dunoon Public School,,
312,1799.0,Dural Public School,,
313,1801.0,Duranbah Public School,,
314,1802.0,Duri Public School,,
315,1803.0,Durrumbul Public School,,
316,1807.0,Earlwood Public School,,
317,1808.0,Eastern Creek Public School,,
318,1809.0,Panania Public School,,
319,1811.0,Dubbo South Public School,,
320,1813.0,Ebenezer Public School,,
321,1814.0,Ebor Public School,,
322,1816.0,Eden Public School,,
323,1822.0,Congewai Public School,,
324,1823.0,Eglinton Public School,,
325,1824.0,Elands Public School,,
326,1826.0,Ellalong Public School,,
327,1830.0,Ellerston Public School,,
328,1835.0,Eltham Public School,,
329,1838.0,Emmaville Central School,,
330,1839.0,Empire Bay Public School,,
331,1840.0,Empire Vale Public School,,
332,1841.0,Emu Plains Public School,,
333,1844.0,Enfield Public School,,
334,1845.0,Engadine Public School,,
335,1849.0,The Entrance Public School,,
336,1850.0,Epping Public School,,
337,1851.0,Epping West Public School,,
338,1856.0,Erina Heights Public School,,
339,1857.0,Woodport Public School,,
340,1860.0,Ermington Public School,,
341,1864.0,Ettalong Public School,,
342,1867.0,Euabalong West Public School,,
343,1870.0,Eugowra Public School,,
344,1873.0,Eumungerie Public School,,
345,1874.0,Eungai Public School,,
346,1879.0,Eureka Public School,,
347,1883.0,Eurongilly Public School,,
348,1885.0,Euston Public School,,
349,1886.0,Evans River Community School,,
350,1890.0,Excelsior Public School,,
351,1891.0,Exeter Public School,,
352,1894.0,Fairfax Public School,,
353,1895.0,Fairfield Public School,,
354,1896.0,Fairfield West Public School,,
355,1898.0,Fairy Meadow Public School,,
356,1901.0,Falls Creek Public School,,
357,1904.0,Fassifern Public School,,
358,1915.0,Fingal Head Public School,,
359,1920.0,Five Dock Public School,,
360,1921.0,Lord Howe Island Central School,,
361,1926.0,Forbes Public School,,
362,1930.0,Forest Hill Public School,,
363,1932.0,Forest Lodge Public School,,
364,1936.0,Forster Public School,,
365,1937.0,Fort Street Public School,,
366,1943.0,Frederickton Public School,,
367,1944.0,Freemans Reach Public School,,
368,1946.0,Frenchs Forest Public School,,
369,1952.0,Galston Public School,,
370,1954.0,Ganmain Public School,,
371,1956.0,Garah Public School,,
372,1969.0,Gerogery Public School,,
373,1971.0,Gerringong Public School,,
374,1972.0,Geurie Public School,,
375,1974.0,Sandy Hollow Public School,,
376,1978.0,Gilgai Public School,,
377,1979.0,Gilgandra Public School,,
378,1982.0,Gillieston Public School,,
379,1986.0,Girilambone Public School,,
380,1988.0,Girraween Public School,,
381,1990.0,Gladesville Public School,,
382,1991.0,Gladstone Public School,,
383,1992.0,Windang Public School,,
384,1994.0,Glenbrook Public School,,
385,2001.0,Glenfield Public School,,
386,2003.0,Glenhaven Public School,,
387,2005.0,Glen Innes Public School,,
388,2009.0,Glenmore Road Public School,,
389,2012.0,Glenorie Public School,,
390,2015.0,Glenquarry Public School,,
391,2016.0,Glenreagh Public School,,
392,2020.0,Glen William Public School,,
393,2021.0,Glossodia Public School,,
394,2027.0,Gol Gol Public School,,
395,2033.0,Goodooga Central School,,
396,2035.0,Goolgowi Public School,,
397,2036.0,Goolma Public School,,
398,2037.0,Goolmangar Public School,,
399,2038.0,Gooloogong Public School,,
400,2041.0,Goonellabah Public School,,
401,2042.0,Goonengerry Public School,,
402,2049.0,Gosford Public School,,
403,2053.0,Goulburn Public School,,
404,2054.0,Goulburn East Public School,,
405,2055.0,Goulburn North Public School,,
406,2056.0,Goulburn South Public School,,
407,2060.0,Grafton Public School,,
408,2061.0,South Grafton Public School,,
409,2064.0,Granville Public School,,
410,2066.0,Granville South Public School,,
411,2068.0,Gravesend Public School,,
412,2070.0,Greenethorpe Public School,,
413,2071.0,Green Hill Public School,,
414,2075.0,Green Valley Public School,,
415,2076.0,Greenwich Public School,,
416,2082.0,Grenfell Public School,,
417,2083.0,Gresford Public School,,
418,2084.0,Greta Public School,,
419,2086.0,Greystanes Public School,,
420,2087.0,Griffith Public School,,
421,2093.0,Guildford Public School,,
422,2094.0,Gulargambone Central School,,
423,2097.0,Gulgong Public School,,
424,2099.0,Gulmarrad Public School,,
425,2100.0,Gum Flat Public School,,
426,2102.0,Gundagai Public School,,
427,2103.0,Gundagai South Public School,,
428,2104.0,Gundaroo Public School,,
429,2109.0,Gunnedah Public School,,
430,2111.0,Gunning Public School,,
431,2114.0,Guyra Central School,,
432,2115.0,Gwabegar Public School,,
433,2116.0,Gymea Bay Public School,,
434,2117.0,Haberfield Public School,,
435,2128.0,Hammondville Public School,,
436,2129.0,Hampton Public School,,
437,2131.0,Hannam Vale Public School,,
438,2132.0,Hanwood Public School,,
439,2133.0,Harbord Public School,,
440,2136.0,Hargraves Public School,,
441,2139.0,Harrington Public School,,
442,2142.0,Harwood Island Public School,,
443,2145.0,Hay Public School,,
444,2149.0,Heathcote Public School,,
445,2153.0,Helensburgh Public School,,
446,2154.0,Henty Public School,,
447,2155.0,Hermidale Public School,,
448,2156.0,Hernani Public School,,
449,2157.0,Herons Creek Public School,,
450,2161.0,Hill End Public School,,
451,2164.0,Hillside Public School,,
452,2165.0,Hillston Central School,,
453,2166.0,Hill Top Public School,,
454,2167.0,Hinton Public School,,
455,2170.0,Holbrook Public School,,
456,2171.0,Holgate Public School,,
457,2172.0,Holmwood Public School,,
458,2173.0,Homebush Public School,,
459,2177.0,Telarah Public School,,
460,2182.0,Horsley Park Public School,,
461,2186.0,Howlong Public School,,
462,2187.0,Hoxton Park Public School,,
463,2188.0,Humula Public School,,
464,2189.0,Hunters Hill Public School,,
465,2190.0,Huntingdon Public School,,
466,2193.0,Rathmines Public School,,
467,2197.0,Hurstville Public School,,
468,2198.0,Hurstville South Public School,,
469,2199.0,Huskisson Public School,,
470,2201.0,Ilford Public School,,
471,2203.0,Illabo Public School,,
472,2204.0,Iluka Public School,,
473,2206.0,Ingleburn Public School,,
474,2209.0,Inverell Public School,,
475,2211.0,Iona Public School,,
476,2212.0,Islington Public School,,
477,2213.0,Ivanhoe Central School,,
478,2214.0,Fernleigh Public School,,
479,2218.0,Jamberoo Public School,,
480,2223.0,Jennings Public School,,
481,2226.0,Jerilderie Public School,,
482,2231.0,Jerrys Plains Public School,,
483,2234.0,Jesmond Public School,,
484,2235.0,Jiggi Public School,,
485,2236.0,Jilliby Public School,,
486,2237.0,Jindabyne Central School,,
487,2239.0,Jindera Public School,,
488,2243.0,Johns River Public School,,
489,2245.0,Jugiong Public School,,
490,2246.0,The Junction Public School,,
491,2247.0,Junee Public School,,
492,2248.0,Junee North Public School,,
493,2254.0,Kandos Public School,,
494,2255.0,Kangaloon Public School,,
495,2256.0,Kangaroo Valley Public School,,
496,2259.0,Kanwal Public School,,
497,2260.0,Karangi Public School,,
498,2263.0,Karuah Public School,,
499,2267.0,Kearsley Public School,,
500,2270.0,Kegworth Public School,,
501,2271.0,Keiraville Public School,,
502,2273.0,Kellys Plains Public School,,
503,2274.0,Kellyville Public School,,
504,2275.0,Kelso Public School,,
505,2278.0,Kempsey East Public School,,
506,2279.0,Kempsey West Public School,,
507,2280.0,Kendall Public School,,
508,2283.0,Kensington Public School,,
509,2284.0,Kenthurst Public School,,
510,2285.0,Kentlyn Public School,,
511,2286.0,Kentucky Public School,,
512,2293.0,Kiama Public School,,
513,2303.0,Kinchela Public School,,
514,2304.0,Kincumber Public School,,
515,2307.0,Kingsgrove Public School,,
516,2308.0,Bexley North Public School,,
517,2310.0,Kingstown Public School,,
518,2312.0,Kingswood Public School,,
519,2314.0,Kirkton Public School,,
520,2315.0,Kitchener Public School,,
521,2319.0,Kogarah Public School,,
522,2326.0,Koorawatha Public School,,
523,2327.0,Kootingal Public School,,
524,2330.0,Kororo Public School,,
525,2333.0,Krambach Public School,,
526,2334.0,Kulnura Public School,,
527,2340.0,Kurmond Public School,,
528,2341.0,Kurnell Public School,,
529,2342.0,Kurrajong Public School,,
530,2343.0,Kurrajong East Public School,,
531,2344.0,Kurrajong North Public School,,
532,2349.0,Kyogle Public School,,
533,2353.0,Ladysmith Public School,,
534,2354.0,Laggan Public School,,
535,2356.0,Laguna Public School,,
536,2357.0,Lake Albert Public School,,
537,2359.0,Lake Cargelligo Central School,,
538,2360.0,Lakemba Public School,,
539,2362.0,Lake Munmorah Public School,,
540,2363.0,Lake Wyangan Public School,,
541,2366.0,Lambton Public School,,
542,2368.0,Lane Cove Public School,,
543,2370.0,Lansdowne Public School,,
544,2372.0,Upper Lansdowne Public School,,
545,2373.0,La Perouse Public School,,
546,2374.0,Largs Public School,,
547,2375.0,Larnook Public School,,
548,2377.0,Laurieton Public School,,
549,2378.0,Lavington Public School,,
550,2379.0,Lawrence Public School,,
551,2381.0,Lawson Public School,,
552,2386.0,Leeton Public School,,
553,2391.0,Leura Public School,,
554,2394.0,Lidcombe Public School,,
555,2395.0,Lightning Ridge Central School,,
556,2403.0,Lindfield Public School,,
557,2404.0,Lindfield East Public School,,
558,2407.0,Lisarow Public School,,
559,2409.0,Lismore South Public School,,
560,2410.0,Lithgow Public School,,
561,2413.0,Llandilo Public School,,
562,2417.0,Lochinvar Public School,,
563,2418.0,Lockhart Central School,,
564,2421.0,Londonderry Public School,,
565,2423.0,Long Flat Public School,,
566,2428.0,Lowanna Public School,,
567,2429.0,Lowesdale Public School,,
568,2431.0,Luddenham Public School,,
569,2432.0,Lue Public School,,
570,2436.0,Lyndhurst Public School,,
571,2439.0,Macdonald Valley Public School,,
572,2444.0,Macksville Public School,,
573,2448.0,Maimuru Public School,,
574,2451.0,Maitland East Public School,,
575,2454.0,Malabar Public School,,
576,2460.0,Mandurama Public School,,
577,2464.0,Manifold Public School,,
578,2465.0,Manildra Public School,,
579,2469.0,Manly West Public School,,
580,2472.0,Maraylya Public School,,
581,2476.0,Pelican Flat Public School,,
582,2480.0,Maroota Public School,,
583,2482.0,Maroubra Bay Public School,,
584,2485.0,Marrar Public School,,
585,2489.0,Marsden Park Public School,,
586,2492.0,Martindale Public School,,
587,2493.0,Martins Creek Public School,,
588,2494.0,Martins Gully Public School,,
589,2496.0,Marulan Public School,,
590,2499.0,Mascot Public School,,
591,2500.0,Mathoura Public School,,
592,2501.0,Matong Public School,,
593,2502.0,Matraville Public School,,
594,2506.0,Mayfield East Public School,,
595,2507.0,Mayfield West Public School,,
596,2508.0,Mayrung Public School,,
597,2509.0,Meadow Flat Public School,,
598,2510.0,The Meadows Public School,,
599,2511.0,Medlow Public School,,
600,2512.0,Medowie Public School,,
601,2515.0,Megalong Public School,,
602,2520.0,Menai Public School,,
603,2522.0,Mendooran Central School,,
604,2523.0,Menindee Central School,,
605,2525.0,Merewether Public School,,
606,2526.0,Merimbula Public School,,
607,2528.0,Merriwa Central School,,
608,2531.0,Merrylands Public School,,
609,2532.0,Bonnells Bay Public School,,
610,2540.0,Michelago Public School,,
611,2542.0,Middle Dural Public School,,
612,2543.0,Middle Harbour Public School,,
613,2550.0,Milbrodale Public School,,
614,2554.0,Millers Forest Public School,,
615,2555.0,Millfield Public School,,
616,2558.0,Millthorpe Public School,,
617,2560.0,Milperra Public School,,
618,2565.0,Milton Public School,,
619,2571.0,Minmi Public School,,
620,2572.0,Minto Public School,,
621,2574.0,Miranda Public School,,
622,2580.0,Mitchells Island Public School,,
623,2581.0,Mittagong Public School,,
624,2584.0,Moama Public School,,
625,2585.0,Modanville Public School,,
626,2586.0,Mogo Public School,,
627,2590.0,Molong Central School,,
628,2593.0,Mona Vale Public School,,
629,2599.0,Monteagle Public School,,
630,2608.0,Moonbi Public School,,
631,2616.0,Moorland Public School,,
632,2618.0,Moree Public School,,
633,2621.0,Morisset Public School,,
634,2623.0,Morpeth Public School,,
635,2624.0,Mortdale Public School,,
636,2625.0,Mortlake Public School,,
637,2628.0,Moruya Public School,,
638,2631.0,Moss Vale Public School,,
639,2632.0,Moulamein Public School,,
640,2637.0,Mount George Public School,,
641,2640.0,Mount Hunter Public School,,
642,2641.0,Mount Kanwary Public School,,
643,2642.0,Mount Keira Public School,,
644,2643.0,Mount Kembla Public School,,
645,2647.0,Mount Pleasant Public School,,
646,2648.0,Mount Pritchard Public School,,
647,2652.0,Mount Victoria Public School,,
648,2656.0,Mudgee Public School,,
649,2658.0,Mulbring Public School,,
650,2659.0,Mulgoa Public School,,
651,2660.0,Mullaley Public School,,
652,2664.0,Mullion Creek Public School,,
653,2665.0,Mullumbimby Public School,,
654,2667.0,Mulwala Public School,,
655,2668.0,Clergate Public School,,
656,2669.0,Mumbil Public School,,
657,2671.0,Mummulgum Public School,,
658,2675.0,Mungindi Central School,,
659,2681.0,Murringo Public School,,
660,2685.0,Murrumburrah Public School,,
661,2686.0,Murrurundi Public School,,
662,2687.0,Murwillumbah Public School,,
663,2688.0,Muswellbrook Public School,,
664,2695.0,Nabiac Public School,,
665,2696.0,Nambucca Heads Public School,,
666,2698.0,Nana Glen Public School,,
667,2699.0,Nangus Public School,,
668,2701.0,Naradhan Public School,,
669,2703.0,Narara Public School,,
670,2704.0,Narellan Public School,,
671,2706.0,Narrabeen Lakes Public School,,
672,2708.0,Narrabri Public School,,
673,2709.0,Narrabri West Public School,,
674,2710.0,Narrandera Public School,,
675,2713.0,Narromine Public School,,
676,2714.0,Nashdale Public School,,
677,2723.0,Tomaree Public School,,
678,2725.0,Nemingha Public School,,
679,2730.0,Neutral Bay Public School,,
680,2732.0,Neville Public School,,
